t_min,lon,lat
129.0,-59.00296984225118,-2.1468885753724294
129.0,-59.00269985659198,-2.147158371854205
129.0,-59.00296984225118,-2.1482375577813073
129.0,-59.00242987093279,-2.1487771507448588
129.0,-58.994330301156836,-2.1487771507448588
129.0,-59.001349928295994,-2.1485073542630833
129.0,-59.001349928295994,-2.1487771507448588
129.0,-58.994330301156836,-2.1490469472266343
129.0,-58.994330301156836,-2.1495865401901857
129.0,-59.0,-2.150665726117288
129.0,-58.999460028681604,-2.150395929635512
129.0,-58.999460028681604,-2.150665726117288
129.0,-58.99730014340802,-2.150665726117288
132.0,-58.998650071704006,-2.140143663328039
132.0,-58.99811010038561,-2.140143663328039
132.0,-58.99811010038561,-2.1404134598098143
132.0,-58.99703015774882,-2.140143663328039
132.0,-58.99676017208962,-2.1404134598098143
132.0,-59.002159885273585,-2.1406832562915903
132.0,-59.00242987093279,-2.1406832562915903
132.0,-59.00188989961439,-2.1412228492551413
132.0,-58.99676017208962,-2.1412228492551413
132.0,-58.99703015774882,-2.1414926457369168
132.0,-59.001349928295994,-2.142032238700468
132.0,-58.99757012906721,-2.1417624422186927
132.0,-58.99649018643042,-2.142032238700468
132.0,-58.99649018643042,-2.1417624422186927
132.0,-59.00296984225118,-2.1425718316640197
132.0,-58.99541024379363,-2.1425718316640197
132.0,-59.00296984225118,-2.1431114246275706
132.0,-58.99487027247523,-2.1431114246275706
132.0,-58.99487027247523,-2.143381221109346
132.0,-58.994060315497634,-2.1444604070364486
132.0,-58.99352034417924,-2.1447302035182245
132.0,-58.99352034417924,-2.145
132.0,-59.00269985659198,-2.145809389445327
132.0,-58.994060315497634,-2.1460791859271025
132.0,-58.99352034417924,-2.147158371854205
132.0,-58.994330301156836,-2.1476979648177563
132.0,-58.994060315497634,-2.1487771507448588
